"Data Source","World Development Indicators",

"Last Updated Date","2015-11-12",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Canada","CAN","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","15.93865","15.82434","16.973","16.70163","16.70203","16.05084","15.60032","15.68562","15.35704","15.30451","15.96673","15.85369","16.22553","16.47861","","17.95005","17.2585296630859","17.4159603118896","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","15.0714797973633","","","","","","","","","","","","","13.3830795288086","13.4342803955078","13.7324304580688","13.6507301330566","13.6418800354004","13.5150995254517","13.4956302642822","13.2889499664307","13.2817497253418","13.5657796859741","13.8309497833252","13.5870800018311","13.1290998458862","12.8085699081421","12.5459299087524","12.0704402923584","11.8358297348022","11.707389831543","12.3626403808594","12.3709297180176","12.4351501464844","","",
"Switzerland","CHE","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7541999816895","","","",
"Channel Islands","CHI","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.23218","31.983060836792","32.2268295288086","","32.9275512695313","34.0928001403809","27.2950096130371","26.0513305664063","25.735969543457","25.1116790771484","24.6402397155762","23.0095691680908","23.4115390777588","21.9740295410156","21.1599102020264","19.5258693695068","","",
"China","CHN","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","28.86952","29.14729","27.37778","28.53388","29.00278","29.29086","29.01038","28.37115","27.97091","27.98316","27.24542","26.59745","25.68556","25.38248","25.03049","25.24791","24.86643","24.35071","23.62223","22.78694","22.31881","21.93084","21.98751","22.07777","22.37416","22.85133","23.29628","23.73693","24.15677","","","22.2057209014893","","21.0530300140381","","","18.2519207000732","17.6820297241211","17.5545196533203","17.2156295776367","16.8437595367432","16.7884101867676","18.2077903747559","16.8534297943115","","",
"Cote d'Ivoire","CIV","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","43.03463","45.01925","46.14843","43.57135","46.07562","44.53024","43.80173","43.15366","43.04085","41.06876","38.77403","38.72203","36.44536","36.26274","35.78158","36.48968","36.25406","36.05055","36.24674","37.10362","36.28911","36.27673","37.06852","35.64816","39.14086","44.64832","41.01421","","41.66097","42.7180290222168","44.9739799499512","46.075569152832","43.8804588317871","42.3566513061523","","","46.108959197998","41.0037612915039","41.8902015686035","42.1274185180664","","48.8462104797363","41.7160491943359","41.0011711120605","","",
"Cameroon","CMR","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","47.69017","48.54799","48.83465","51.42933","51.62818","50.56058","49.78232","50.0225","50.47961","51.52335","51.53402","50.50649","48.61283","50.39807","50.94533","50.75656","50.24782","51.30844","50.50546","51.484","51.10971","47.86434","","","46.29539","","48.78088","51.78101","51.8620109558105","","62.7213401794434","60.8047904968262","57.0638008117676","53.9031410217285","47.812801361084","44.6942481994629","44.4305381774902","46.035270690918","46.3156890869141","45.7947387695313","45.4377288818359","45.5634918212891","","44.1952590942383","",
"Congo, Rep.","COG","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","61.85249","64.19569","63.43105","63.04043","60.79438","58.72304","","51.79566","52.51186","55.89872","54.36627","58.1442","57.69873","56.79136","60.70168","61.43383","63.77437","66.09692","62.99504","64.42506","65.17788","63.20272","69.05732","73.41823","82.16833","72.74795","72.91752","63.95559","61.2294616699219","60.4805717468262","59.4918098449707","56.2077713012695","65.1710205078125","82.79541015625","","54.796630859375","58.480110168457","51.8047714233398","64.3806228637695","49.145679473877","47.0928916931152","44.4420013427734","","","",
"Colombia","COL","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","38.20769","38.3984","34.56653","33.91222","32.8813","32.07068","32.25021","32.37915","32.50871","31.14374","30.56291","30.62569","29.83356","29.73447","29.60797","30.38614","29.44692","29.78139","29.84056","29.89499","29.91953","30.10601","27.86149","27.6851","25.85626","24.8125","25.35665","","23.29196","24.020450592041","26.4524097442627","26.0171298980713","26.8198890686035","","27.9517192840576","28.3483905792236","28.183219909668","29.519739151001","29.3957004547119","29.3090801239014","28.1310691833496","27.5796508789063","25.0479602813721","24.9836406707764","","",
